query_id,query_text,intent_category,video_title,creator_handle,description_snippet,result_language,score,flag
Q01,how to remove gel nail polish at home,Informational,Remove Gel Nails at Home — No Damage!,@nailsbynik,Soaking cotton in acetone and wrapping each nail — the safest way to remove gel at home without breaking the nail bed.,English,3,
Q01,how to remove gel nail polish at home,Informational,Gel Nails Removal Hack in 5 Mins,@beautyquicktips,No acetone needed — she uses a surprising pantry item to lift gel polish.,English,3,
Q01,how to remove gel nail polish at home,Informational,DIY Gel Removal Gone Wrong,@glamnailsco,Shows what NOT to do when peeling gel nails — correct soak-off method included.,English,2,
Q01,how to remove gel nail polish at home,Informational,Nail salon ASMR — gel removal close up,@asmrbeauty,Relaxing close-up of a nail technician removing gel polish. No narration.,English,2,
Q01,how to remove gel nail polish at home,Informational,ネイルオフのやり方【簡単】,@nail_japan_official,Step-by-step Japanese tutorial on gel nail removal — no English subtitles.,Japanese,0,Wrong language — Japanese result for English query
Q02,signs of a bad transmission,Informational,5 Signs Your Transmission Is Failing,@cartipswith_mike,"Lists slipping gears, delayed engagement, unusual noises, fluid leaks, and warning lights.",English,3,
Q02,signs of a bad transmission,Informational,My transmission was going out and I didn't know,@drivingemily,Storytime about ignoring early warning signs — ends with a $4000 repair bill.,English,3,
Q02,signs of a bad transmission,Informational,Manual vs Auto Transmission Differences,@mechanicmatt,Comparison of manual and automatic transmissions — not about failure signs.,English,1,"Off-topic — about types of transmission, not failure signs"
Q02,signs of a bad transmission,Informational,Transmission fluid change step by step,@diyautorepair,How to change transmission fluid — not about diagnosing a failing transmission.,English,1,"Off-topic — about maintenance, not diagnosing failure"
Q02,signs of a bad transmission,Informational,Como saber si tu transmision esta fallando,@mecanico_pro,Spanish language video on transmission failure signs. No English subtitles.,Spanish,0,Wrong language — Spanish result for English query
Q03,what does serotonin do,Informational,Serotonin Explained in 60 Seconds,@sciencebrain,"Accurate breakdown: mood regulation, sleep, digestion, and the gut-brain connection.",English,3,
Q03,what does serotonin do,Informational,Why you feel good after exercise — serotonin,@healthcoach_jen,Explains the link between physical activity and serotonin release.,English,3,
Q03,what does serotonin do,Informational,Natural ways to boost serotonin,@wellnesswithkate,"Lists sunlight, exercise, diet, and sleep. Practical and accurate.",English,2,
Q03,what does serotonin do,Informational,Serotonin vs Dopamine — what's the difference?,@psychologytoday_tt,Clear comparison of both neurotransmitters with animated graphics.,English,2,
Q03,what does serotonin do,Informational,Do antidepressants actually work? The serotonin debate,@drjordanmd,Nuanced discussion of the serotonin hypothesis for depression.,English,2,
Q04,how to make sourdough starter from scratch,Informational,Sourdough Starter Day 1 to Day 7 — Full Guide,@breadbaker_official,Complete 7-day time-lapse with daily feeding instructions and troubleshooting tips.,English,3,
Q04,how to make sourdough starter from scratch,Informational,My sourdough starter failed — here's why,@homebaker_fails,"Explains common starter mistakes: wrong flour, temperature, too much water.",English,3,
Q04,how to make sourdough starter from scratch,Informational,Sourdough bread recipe (uses active starter),@thebreadlab,Recipe that assumes an existing starter. Does not address how to make one.,English,1,"Off-topic — assumes starter exists, does not show how to make one"
Q04,how to make sourdough starter from scratch,Informational,Sourdough starter — 100% whole wheat method,@grainandgood,Alternative method using whole wheat flour for faster activation.,English,2,
Q04,how to make sourdough starter from scratch,Informational,Chef reacts to your sourdough starters,@chefreviews,Chef critiques viewer submissions — entertaining but low instructional value.,English,1,"Low value — entertainment, not instructional"
Q05,best exercises for lower back pain,Informational,5 Stretches for Lower Back Pain Relief,@drspinept,"Physical therapist demonstrates bird-dog, cat-cow, and hip flexor stretches.",English,3,
Q05,best exercises for lower back pain,Informational,Morning routine for a bad lower back,@physiofit,7-minute morning routine with modifications for beginners.,English,3,
Q05,best exercises for lower back pain,Informational,Lower back pain — what NOT to do,@backpain_relief,"Covers exercises that worsen back pain (aggressive sit-ups, toe touches).",English,2,
Q05,best exercises for lower back pain,Informational,Core strengthening for back pain prevention,@strengthcoach_dan,Focuses on deep core work. Slightly more advanced.,English,2,
Q05,best exercises for lower back pain,Informational,Yoga for back pain — full 20 min class,@yogawithclaudia,Guided yoga session. Well-produced but may not suit users seeking quick exercises.,English,2,
Q06,how to start investing with $100,Informational,Investing $100 — Step by Step for Beginners,@financewithfrank,"Covers index funds, fractional shares, and brokerage account setup.",English,3,
Q06,how to start investing with $100,Informational,I invested $100 a month for 5 years — results,@moneydiaries_tt,Personal finance storytime with real returns data.,English,3,
Q06,how to start investing with $100,Informational,Stocks vs ETFs vs Crypto for beginners,@investingiq,Comparison video — not specifically about starting with $100 but relevant.,English,2,
Q06,how to start investing with $100,Informational,Best investing apps in 2024,@appreviews_finance,"Reviews Robinhood, Fidelity, and Acorns for beginners.",English,2,
Q06,how to start investing with $100,Informational,Get rich quick with THIS investment,@cryptohype2024,Promotes a specific altcoin as a guaranteed return. Misleading.,English,0,Misleading financial claims — promotes guaranteed returns
Q07,how does compound interest work,Informational,Compound Interest Explained Simply,@moneymath_tt,Uses the snowball analogy. Clear and accurate with a 10-year growth chart.,English,3,
Q07,how does compound interest work,Informational,The Rule of 72 — compound interest hack,@financetips_daily,Teaches the Rule of 72 for estimating doubling time.,English,3,
Q07,how does compound interest work,Informational,Compound vs Simple Interest — what's the difference,@bankingbasics,Side-by-side comparison with worked example.,English,3,
Q07,how does compound interest work,Informational,Why banks don't want you to know this,@debtfreeguru,Clickbait title but content is a legitimate explanation of compound interest on debt.,English,1,Clickbait title — misleading framing
Q07,how does compound interest work,Informational,저축 이자 계산 방법,@koreainvesting,Korean tutorial on calculating savings interest. No English.,Korean,0,Wrong language — Korean result for English query
Q08,best skincare routine for oily skin,Informational,Skincare Routine for Oily Skin — Dermatologist Approved,@drskincare_md,"Board-certified dermatologist walks through cleanser, niacinamide serum, and non-comedogenic SPF.",English,3,
Q08,best skincare routine for oily skin,Informational,My oily skin routine that actually works,@glowup_withgrace,Before/after transformation with product list. Relatable format.,English,3,
Q08,best skincare routine for oily skin,Informational,Drugstore skincare for oily skin under $30,@budgetskincare,"Reviews CeraVe, La Roche-Posay, and Neutrogena specifically for oily skin.",English,3,
Q08,best skincare routine for oily skin,Informational,Why your moisturizer is making your skin MORE oily,@skinscience_tt,Explains the dehydration-oiliness feedback loop. Counterintuitive and accurate.,English,2,
Q08,best skincare routine for oily skin,Informational,My 12-step K-beauty routine,@kbeauty_addict,K-beauty routine for normal/combination skin — not specifically oily skin.,English,1,"Wrong audience — routine for normal/combination skin, not oily"
Q09,what to eat before a workout,Informational,Pre-workout Nutrition — What and When to Eat,@nutritionwithnat,"Sports dietitian covers carbs, protein timing, and hydration. Evidence-based.",English,3,
Q09,what to eat before a workout,Informational,5 Easy Pre-Workout Snacks,@fitfoodie_official,Quick snack ideas with macros listed. Practical and visually appealing.,English,3,
Q09,what to eat before a workout,Informational,Should you work out fasted?,@gymscience_tt,Balanced look at fasted vs fed training. Related but not a direct answer.,English,2,
Q09,what to eat before a workout,Informational,What I eat in a day as an athlete,@proathlete_fueling,Full day of eating — too broad for the specific query.,English,1,Too broad — not specifically about pre-workout eating
Q09,what to eat before a workout,Informational,Pre-workout supplement review (sponsored),@fitnesspromoter,Sponsored review of a pre-workout powder. Tangentially related but promotional.,English,0,Promotional content — no genuine informational value
Q10,how long does it take to learn guitar,Informational,How Long to Learn Guitar — Realistic Timeline,@guitarmasterclass_tt,"Breaks down beginner milestones: first chords in 1 week, songs in 1 month, fluent in 6-12 months.",English,3,
Q10,how long does it take to learn guitar,Informational,I learned guitar in 30 days — here's the truth,@30daychallenge_guitar,Documents a real 30-day learning journey with honest progress updates.,English,3,
Q10,how long does it take to learn guitar,Informational,Best apps to learn guitar in 2024,@appreviewer_music,"Reviews Yousician, Fender Play, and Simply Guitar.",English,2,
Q10,how long does it take to learn guitar,Informational,Guitar for beginners — first lesson,@guitarteacher_official,First lesson covering hand position and basic chord shapes.,English,1,"Off-topic — first lesson content, not about timeline"
Q10,how long does it take to learn guitar,Informational,Epic guitar solo compilation,@guitarsolos_daily,Entertainment compilation — unrelated to learning timeline.,English,0,"Wrong intent — entertainment, nothing to do with learning timeline"
Q11,how to lose belly fat fast,Informational,The Truth About Belly Fat — What Actually Works,@certifiedpt_sam,"Certified personal trainer debunks spot reduction myth, explains calorie deficit and strength training.",English,3,
Q11,how to lose belly fat fast,Informational,I lost 30 lbs — what actually changed,@weightloss_journey,"Personal transformation with honest timeline covering diet, sleep, and consistency.",English,3,
Q11,how to lose belly fat fast,Informational,Ab workout WILL NOT burn belly fat — here's why,@fitnessscience_tt,Evidence-based explanation of why core exercises alone don't reduce belly fat.,English,2,
Q11,how to lose belly fat fast,Informational,Belly fat burning foods you NEED,@dietmyths_tt,Misleading title — no food directly burns fat. Content is marginally useful.,English,1,Misleading title — no food directly burns fat
Q11,how to lose belly fat fast,Informational,Perder grasa abdominal rapido,@fitness_latino,Spanish-language belly fat workout video. No English subtitles.,Spanish,0,Wrong language — Spanish result for English query
Q12,how to improve credit score,Informational,5 Ways to Improve Your Credit Score Fast,@crediteducation_tt,"Covers on-time payments, utilization ratio, disputing errors, and authorized user strategy.",English,3,
Q12,how to improve credit score,Informational,I went from 580 to 780 credit score in 18 months,@creditrepair_diary,Personal finance storytime with specific tactics. Credible and motivating.,English,3,
Q12,how to improve credit score,Informational,What actually affects your FICO score — explained,@ficobasics,Breaks down the 5 FICO factors with percentage weights. Accurate.,English,3,
Q12,how to improve credit score,Informational,Credit card hacks 2024 (not financial advice),@moneyloopholes,Promotes balance transfer churning — potentially misleading as a blanket strategy.,English,1,Potentially misleading — blanket advice that may harm some users
Q12,how to improve credit score,Informational,Best credit cards for beginners,@creditcardreviewer,"Card recommendations — adjacent topic, not directly about improving score.",English,1,"Off-topic — about choosing cards, not improving score"
Q13,why is the sky blue,Informational,Why Is the Sky Blue? Rayleigh Scattering Explained,@physicsquick,60-second animation explaining light wavelength scattering. Accurate.,English,3,
Q13,why is the sky blue,Informational,Why is the sky RED at sunset? Same reason.,@sciencedaily_tt,Extends sky color concept to sunset and sunrise. Excellent follow-up content.,English,2,
Q13,why is the sky blue,Informational,Sky science — atmosphere layers explained,@atmospherics_101,Explains troposphere and why light interacts differently at altitude.,English,2,
Q13,why is the sky blue,Informational,Blue light glasses — do they actually work?,@visionhealth_tt,"About blue light and eye health — same keyword, completely wrong intent.",English,0,"Wrong intent — about eye health, not sky color"
Q13,why is the sky blue,Informational,Warum ist der Himmel blau? Einfach erklärt,@physik_deutsch,German explanation of Rayleigh scattering. No English subtitles.,German,0,Wrong language — German result for English query
Q14,how to meditate for beginners,Informational,5-Minute Beginner Meditation — Follow Along,@mindfulness_daily,"Guided breathing and body scan. Calm pacing, well-produced.",English,3,
Q14,how to meditate for beginners,Informational,Why meditation feels impossible at first — and what to do,@meditationcoach_tt,Addresses common beginner frustrations like racing thoughts.,English,3,
Q14,how to meditate for beginners,Informational,Box breathing technique — 4 seconds in hold out hold,@breathwork_basics,Simple breathing technique. Useful but narrower than full meditation guidance.,English,2,
Q14,how to meditate for beginners,Informational,Best meditation apps 2024 ranked,@appreviewer_wellness,"Reviews Headspace, Calm, and Insight Timer — adjacent, not instructional.",English,2,
Q14,how to meditate for beginners,Informational,Advanced Vipassana retreat — 10 day silent experience,@meditationadvanced,Advanced technique content — not appropriate for beginner query.,English,0,Wrong audience — advanced content for a beginner query
Q15,symptoms of vitamin D deficiency,Informational,Signs You're Low on Vitamin D,@drwellness_md,"Doctor lists fatigue, bone pain, mood changes, and frequent illness. Medically accurate.",English,3,
Q15,symptoms of vitamin D deficiency,Informational,I was vitamin D deficient and didn't know,@healthstorytime,Personal account of diagnosis journey with symptoms listed.,English,3,
Q15,symptoms of vitamin D deficiency,Informational,Vitamin D vs Vitamin D3 — what's the difference?,@nutritionscience_tt,Explains the form distinction. Adjacent but not about deficiency symptoms.,English,2,
Q15,symptoms of vitamin D deficiency,Informational,Sun exposure and vitamin D — how long do you need?,@dermatology_basics,Covers synthesis via sunlight. Tangentially related.,English,2,
Q15,symptoms of vitamin D deficiency,Informational,Vitamin D supplement review (sponsored),@supplementinfluencer,Promotional content for a specific brand without deficiency symptom discussion.,English,0,Promotional content — no discussion of deficiency symptoms
Q16,how to parallel park,Informational,Parallel Parking Made Easy — Step by Step,@drivinginstructor_pro,Uses reference point method with dashboard camera showing tire position.,English,3,
Q16,how to parallel park,Informational,Parallel parking FAILS compilation,@dashcam_fails,Entertainment compilation of parking fails. Zero instructional value.,English,0,"Wrong intent — entertainment only, no instructional value"
Q16,how to parallel park,Informational,New driver tips — parallel parking guide,@newdriver_tt,Beginner-friendly walkthrough with top-down diagram animation.,English,3,
Q16,how to parallel park,Informational,Tesla autopilot parallel parks for me,@teslalife_tt,Shows Tesla's automated parking feature. Not relevant to learning manually.,English,0,"Wrong intent — about automated parking, not learning to park"
Q16,how to parallel park,Informational,Einparken lernen — Schritt fur Schritt,@fahrschule_de,German driving lesson on parallel parking. No English.,German,0,Wrong language — German result for English query
Q17,what causes inflation,Informational,Inflation Explained in Under 2 Minutes,@econ101_tt,"Covers demand-pull, cost-push, and monetary supply. Accurate and accessible.",English,3,
Q17,what causes inflation,Informational,Why did inflation spike in 2022?,@economywatch,Specific post-pandemic analysis. Highly relevant and well-sourced.,English,3,
Q17,what causes inflation,Informational,How the Federal Reserve fights inflation,@fedexplained,Covers interest rate policy. Excellent complement to causes explanation.,English,2,
Q17,what causes inflation,Informational,Inflation hacks — how to save money right now,@moneysaving_tips,Practical tips but does not explain causes. Wrong intent.,English,1,"Wrong intent — practical tips, not an explanation of causes"
Q17,what causes inflation,Informational,La inflacion en Mexico explicada,@economia_mx,Spanish economic analysis. No English subtitles.,Spanish,0,Wrong language — Spanish result for English query
Q18,how to train a puppy not to bite,Informational,Stop Puppy Biting in 3 Days — Dog Trainer Tips,@certifieddogtrainer,APDT-certified trainer demonstrates bite inhibition and redirection methods.,English,3,
Q18,how to train a puppy not to bite,Informational,Why puppies bite — understanding the behavior first,@dogbehaviorist_tt,Explains developmental biting stages. Context before technique.,English,3,
Q18,how to train a puppy not to bite,Informational,Puppy biting my hands — help! Q&A,@dogtrainer_qa,Answers common viewer questions about bite training.,English,2,
Q18,how to train a puppy not to bite,Informational,Cute puppy compilation,@puppylove_viral,Viral puppy content — completely irrelevant to training.,English,0,"Wrong intent — pure entertainment, nothing about training"
Q18,how to train a puppy not to bite,Informational,My dog STILL bites at 2 years old,@dogproblems_help,About adult dog biting — different behavior and training approach than puppy biting.,English,1,"Off-topic — adult dog behavior, different from puppy training"
Q19,how to read faster,Informational,Speed Reading Techniques That Actually Work,@learninglab_tt,"Evidence-based: subvocalization reduction, chunking, and peripheral vision training.",English,3,
Q19,how to read faster,Informational,I read 52 books last year — my reading system,@bookreviewer_pro,Practical reading habit system. More about volume than speed.,English,2,
Q19,how to read faster,Informational,Speed reading apps — tested and ranked,@appreviewer_learning,Reviews Spreeder and ReadMe apps. Adjacent — tools not techniques.,English,2,
Q19,how to read faster,Informational,Speed reading myth — does it actually work?,@scienceoflearning,Nuanced look at speed reading research. May discourage rather than guide.,English,2,
Q19,how to read faster,Informational,Best books to read in 2024,@bookrecommender,Book recommendations — completely unrelated to reading speed.,English,0,"Wrong intent — book recommendations, not reading speed"
Q20,how does the stock market work,Informational,Stock Market Basics for Complete Beginners,@investingeasy,"Covers exchanges, shares, market cap, and supply-demand price mechanism.",English,3,
Q20,how does the stock market work,Informational,Why stock prices go up and down — explained,@marketbasics_tt,"Focuses on price discovery, earnings reports, and sentiment. Clear.",English,3,
Q20,how does the stock market work,Informational,How to read a stock chart for beginners,@trading101_tt,Chart reading tutorial. Useful follow-up but not how the market works fundamentally.,English,2,
Q20,how does the stock market work,Informational,"I lost $10,000 in the stock market — story time",@tradingfails,Entertainment/warning content. Low educational depth.,English,1,"Low value — entertainment/warning, no educational depth"
Q20,how does the stock market work,Informational,Stock market news today — live update,@marketlive_tt,Live news update — ephemeral content not suited to an explanatory query.,English,0,"Wrong intent — live news, not an explanation of how it works"
Q21,@gordonramsay tiktok,Navigational,Gordon Ramsay reacts to your cooking disasters,@gordongram,Official Gordon Ramsay account — verified. Duet reactions to viewer cooking fails.,English,3,
Q21,@gordonramsay tiktok,Navigational,Gordon Ramsay best moments TikTok compilation,@topchefmoments,Fan-made compilation. Not the official page.,English,1,Fan compilation — not the official account
Q21,@gordonramsay tiktok,Navigational,Gordon Ramsay lamb sauce recipe,@foodrecipes_daily,Fan recipe replication. Not Gordon Ramsay himself.,English,1,Fan content — not Gordon Ramsay himself
Q21,@gordonramsay tiktok,Navigational,Top chef TikToks you need to see,@foodtok_roundup,Roundup including Gordon Ramsay and 9 other chefs — does not surface the target account.,English,0,"Wrong intent — roundup of multiple chefs, not the target account"
Q21,@gordonramsay tiktok,Navigational,Gordon Ramsay Hell's Kitchen highlight,@tvclipsdaily,TV clip reposted by a media account — not the official Gordon Ramsay TikTok.,English,1,Media repost — not the official TikTok account
Q22,nike official tiktok,Navigational,Nike Running Motivation — Push Your Limits,@nike,Verified Nike official account. Campaign video featuring elite runners.,English,3,
Q22,nike official tiktok,Navigational,Nike Air Max unboxing,@sneakerheadofficial,Popular sneaker creator — not Nike's official account.,English,1,Third-party creator — not Nike official
Q22,nike official tiktok,Navigational,Best Nike deals this week,@dealsanddiscounts,Affiliate deal account. Unrelated to finding Nike's official presence.,English,0,"Wrong intent — deal aggregator, not the official account"
Q22,nike official tiktok,Navigational,Nike vs Adidas — which brand wins?,@sneakerreview_tt,Brand comparison video. Not navigational.,English,1,Related topic but not navigational to Nike account
Q22,nike official tiktok,Navigational,Nike sneaker collection show-off,@streetwear_culture,Streetwear creator showing Nike collection. Not the official account.,English,1,Fan content — not the official Nike account
Q23,duolingo tiktok account,Navigational,Duolingo owl unhinged TikTok moments,@duolingo,Verified Duolingo account. Brand-building viral content with the owl mascot.,English,3,
Q23,duolingo tiktok account,Navigational,Duolingo streak memes compilation,@languagememes,Fan account. Not the official account.,English,1,Fan account — not official Duolingo
Q23,duolingo tiktok account,Navigational,How I learned Spanish with Duolingo — 6 month review,@languagelearner_vlog,App review and learning journey. Not navigational.,English,1,App review — not navigational to the account
Q23,duolingo tiktok account,Navigational,Duolingo vs Babbel — which language app is better?,@appreviewer_languages,Comparison review. Not navigating to an account.,English,0,"Wrong intent — comparison, not the Duolingo account"
Q23,duolingo tiktok account,Navigational,Duolingo owl cosplay tutorial,@cosplay_creator,Cosplay content — extremely tangential.,English,0,"Wrong intent — cosplay content, completely off"
Q24,nba tiktok official,Navigational,Top NBA Plays of the Week,@nba,Verified NBA account. Weekly top 10 highlights.,English,3,
Q24,nba tiktok official,Navigational,NBA Finals highlights best moments,@basketballfan_edits,Fan edit account. Not the official NBA.,English,1,Fan edit account — not the official NBA
Q24,nba tiktok official,Navigational,LeBron James career highlights,@lebronfan_tt,Player-focused fan account. Not the official NBA.,English,1,Player fan account — not the official NBA
Q24,nba tiktok official,Navigational,NBA 2K25 gameplay highlights,@nba2k_clips,Video game content — completely unrelated to the official account.,English,0,Wrong intent — video game content
Q24,nba tiktok official,Navigational,Basketball training drills,@coachbasketball,Training content. No connection to official NBA account.,English,0,"Wrong intent — training content, no connection to official NBA"
Q25,charli damelio tiktok,Navigational,charli damelio new dance 2024,@charlidamelio,Verified Charli D'Amelio account. Latest dance content.,English,3,
Q25,charli damelio tiktok,Navigational,charli damelio compilation — best dances,@dancecompilations,Fan compilation. Not her account.,English,1,Fan compilation — not her account
Q25,charli damelio tiktok,Navigational,damelio show behind the scenes,@dameliofamily,Family account — related but not Charli's primary account.,English,2,Family account — related but not Charli's primary account
Q25,charli damelio tiktok,Navigational,TikTok most followed creators ranked,@socialstats_tt,Statistics content. Mentions Charli but is not her account.,English,0,"Wrong intent — stats content, not her account"
Q25,charli damelio tiktok,Navigational,dances that went viral on TikTok 2024,@viral_dances,General viral dance content. Charli not featured.,English,0,"Wrong intent — general viral content, Charli not featured"
Q26,ted talks tiktok,Navigational,The Secret to a Happy Life — TED Talk Clip,@ted,Verified TED account. Curated talk excerpts.,English,3,
Q26,ted talks tiktok,Navigational,Life-changing TED Talk moments compilation,@motivation_clips,Fan compilation of TED clips. Not the official account.,English,1,Fan compilation — not the official TED account
Q26,ted talks tiktok,Navigational,TED-style talk: How I became a millionaire,@entrepreneur_speaker,Self-produced talk mimicking TED format. Not TED.,English,0,"Wrong intent — impersonating TED format, not TED"
Q26,ted talks tiktok,Navigational,Best TED talks ranked by topic,@learningcurated,Curated list post. Not the official account.,English,0,"Wrong intent — list content, not the official account"
Q26,ted talks tiktok,Navigational,Public speaking tips from a TEDx speaker,@publicspeaking_coach,Adjacent content — coach who has given a TEDx talk.,English,0,"Wrong intent — adjacent creator, not TED"
Q27,nasa tiktok channel,Navigational,NASA captures stunning new galaxy images,@nasa,Verified NASA account. Hubble and JWST imagery with narration.,English,3,
Q27,nasa tiktok channel,Navigational,NASA explained — what do they actually do?,@sciencechannel_tt,Educational about NASA's mission. Not the official account.,English,1,Educational about NASA but not the official account
Q27,nasa tiktok channel,Navigational,Space exploration future — NASA Mars mission,@spacefuture_tt,Space enthusiast creator. Covers NASA topics but is not NASA.,English,1,Space enthusiast — covers NASA topics but not NASA itself
